iter	Passed	Remaining
658	7722	3995
659	7734	3984
660	7745	3972
661	7759	3961
662	7770	3949
663	7783	3938
664	7797	3927
665	7809	3916
666	7821	3905
667	7833	3893
668	7844	3881
669	7856	3869
670	7868	3858
671	7880	3846
672	7891	3834
673	7902	3822
674	7914	3810
675	7925	3798
676	7937	3787
677	7949	3775
678	7962	3764
679	7974	3752
680	7986	3741
681	7997	3729
682	8009	3717
683	8020	3705
684	8032	3693
685	8043	3681
686	8054	3669
687	8066	3658
688	8078	3646
689	8089	3634
690	8101	3622
691	8113	3611
692	8125	3599
693	8137	3587
694	8148	3575
695	8160	3564
696	8171	3552
697	8183	3540
698	8194	3528
699	8206	3516
700	8217	3505
701	8229	3493
702	8239	3481
703	8251	3469
704	8266	3458
705	8278	3447
706	8290	3435
707	8302	3423
708	8313	3412
709	8324	3400
710	8335	3388
711	8346	3376
712	8357	3364
713	8369	3352
714	8380	3340
715	8392	3328
716	8403	3316
717	8414	3304
718	8426	3293
719	8438	3281
720	8450	3269
721	8463	3258
722	8474	3246
723	8486	3235
724	8497	3223
725	8508	3211
726	8520	3199
727	8531	3187
728	8542	3175
729	8554	3163
730	8565	3151
731	8577	3140
732	8589	3128
733	8601	3117
734	8612	3105
735	8623	3093
736	8635	3081
737	8645	3069
738	8657	3057
739	8669	3045
740	8679	3033
741	8691	3022
742	8703	3010
743	8714	2998
744	8726	2986
745	8737	2974
746	8748	2963
747	8761	2951
748	8775	2940
749	8787	2929
750	8799	2917
751	8810	2905
752	8821	2893
753	8832	2881
754	8843	2869
755	8855	2858
756	8865	2846
757	8877	2834
758	8888	2822
759	8899	2810
760	8910	2798
761	8921	2786
762	8933	2774
763	8944	2762
764	8955	2751
765	8967	2739
766	8979	2727
767	8990	2715
768	9002	2704
769	9013	2692
770	9024	2680
771	9035	2668
772	9047	2656
773	9058	2644
774	9070	2633
775	9082	2621
776	9093	2609
777	9104	2598
778	9116	2586
779	9128	2574
780	9139	2562
781	9150	2550
782	9162	2539
783	9173	2527
784	9184	2515
785	9196	2503
786	9207	2491
787	9217	2479
788	9229	2468
789	9239	2456
790	9251	2444
791	9264	2433
792	9276	2421
793	9288	2409
794	9298	2397
795	9310	2386
796	9321	2374
797	9332	2362
798	9343	2350
799	9353	2338
800	9365	2326
801	9376	2314
802	9387	2303
803	9399	2291
804	9416	2280
805	9435	2271
806	9455	2261
807	9470	2250
808	9487	2239
809	9498	2228
810	9512	2216
811	9526	2205
812	9538	2194
813	9550	2182
814	9561	2170
815	9572	2158
816	9584	2146
817	9596	2135
818	9607	2123
819	9619	2111
820	9630	2099
821	9641	2087
822	9653	2076
823	9664	2064
824	9676	2052
825	9688	2040
826	9699	2029
827	9710	2017
828	9722	2005
829	9735	1994
830	9747	1982
831	9759	1970
832	9771	1958
833	9783	1947
834	9795	1935
835	9806	1923
836	9818	1912
837	9830	1900
838	9841	1888
839	9852	1876
840	9864	1865
841	9875	1853
842	9887	1841
843	9898	1829
844	9910	1817
845	9921	1806
846	9934	1794
847	9945	1782
848	9956	1770
849	9968	1759
850	9980	1747
851	9991	1735
852	10003	1723
853	10014	1712
854	10026	1700
855	10036	1688
856	10048	1676
857	10059	1664
858	10074	1653
859	10087	1642
860	10099	1630
861	10111	1618
862	10123	1607
863	10134	1595
864	10145	1583
865	10157	1571
866	10168	1559
867	10179	1548
868	10190	1536
869	10201	1524
870	10212	1512
871	10224	1500
872	10236	1489
873	10248	1477
874	10260	1465
875	10286	1456
876	10297	1444
877	10309	1432
878	10320	1420
879	10331	1408
880	10342	1396
881	10353	1385
882	10364	1373
883	10375	1361
884	10387	1349
885	10398	1337
886	10410	1326
887	10423	1314
888	10435	1302
889	10446	1291
890	10457	1279
891	10469	1267
892	10480	1255
893	10492	1244
894	10503	1232
895	10515	1220
896	10526	1208
897	10537	1196
898	10549	1185
899	10561	1173
900	10572	1161
901	10584	1149
902	10595	1138
903	10606	1126
904	10618	1114
905	10629	1102
906	10640	1091
907	10651	1079
908	10663	1067
909	10675	1055
910	10686	1044
